R90,R250,R1000,R2000,R3000,R4000
-4.05,-1.217,-0.111,-0.06,0.012,0.048
-3.895,-1.166,-0.136,-0.077,0.022,0.049
-3.729,-1.094,-0.076,-0.057,-0.002,0.071
-3.548,-1.042,-0.066,-0.059,0.018,0.067
-3.351,-0.998,-0.052,-0.03,0.022,0.073
-3.189,-0.93,-0.003,-0.015,0.014,0.043
-2.996,-0.871,-0.041,-0.031,-0.12,0.056
-2.817,-0.823,-0.015,-0.033,0.041,0.048
-2.627,-0.762,-0.019,-0.01,0.029,0.075
-2.432,-0.712,0.015,-0.003,0.031,0.047
-2.235,-0.653,0.039,0.023,0.023,0.05
-2.061,-0.604,0.045,0.022,-0.005,0.023
-1.84,-0.527,0.013,0.014,0.036,0.026
-1.659,-0.474,0.015,0.012,0.024,0.021
-1.491,-0.428,0.057,0.027,0.035,0.033
-1.287,-0.379,0.022,0.037,0.037,0.015
-1.079,-0.318,0.017,0.047,0.049,0.013
-0.884,-0.284,0.048,0.062,0.022,0.003
-0.68,-0.219,0.016,0.05,-0.01,0.007
-0.472,-0.163,0.022,0.027,0.032,0.008
-0.296,-0.105,0.026,0.05,0.102,0.008
-0.088,-0.04,0.032,0.046,0.105,0.008
0.027,0.001,0.03,0.055,0.054,0.007
