R90,R250,R1000,R2000,R3000,R4000
-11.747,-3.823,-0.901,-0.419,-0.255,-0.141
-11.613,-3.795,-0.892,-0.409,-0.226,-0.148
-11.545,-3.764,-0.885,-0.403,-0.244,-0.105
-11.452,-3.741,-0.868,-0.382,-0.235,-0.132
-11.336,-3.726,-0.858,-0.396,-0.225,-0.121
-11.28,-3.655,-0.848,-0.37,-0.215,-0.123
-11.141,-3.637,-0.848,-0.38,-0.17,-0.117
-11.073,-3.623,-0.845,-0.388,-0.203,-0.116
-10.957,-3.569,-0.819,-0.381,-0.209,-0.107
-10.843,-3.55,-0.808,-0.37,-0.228,-0.11
-10.747,-3.496,-0.819,-0.363,-0.195,-0.13
-10.659,-3.458,-0.791,-0.358,-0.186,-0.125
-10.52,-3.405,-0.772,-0.348,-0.196,-0.093
-10.484,-3.4,-0.768,-0.345,-0.182,-0.095
-10.335,-3.349,-0.766,-0.35,-0.157,-0.091
-10.198,-3.335,-0.766,-0.366,-0.183,-0.104
-10.138,-3.266,-0.758,-0.337,-0.152,-0.094
-10.026,-3.217,-0.733,-0.311,-0.153,-0.09
-9.918,-3.209,-0.739,-0.311,-0.168,-0.095
-9.825,-3.16,-0.727,-0.328,-0.163,-0.088
-9.648,-3.103,-0.7,-0.32,-0.153,-0.1
-9.527,-3.093,-0.708,-0.31,-0.147,-0.079
-9.446,-3.041,-0.681,-0.307,-0.146,-0.067
-9.339,-2.972,-0.654,-0.294,-0.149,-0.082
-9.209,-2.951,-0.649,-0.288,-0.151,-0.071
-9.094,-2.904,-0.653,-0.288,-0.152,-0.042
-8.995,-2.862,-0.643,-0.279,-0.146,-0.072
-8.84,-2.823,-0.634,-0.282,-0.13,-0.053
-8.706,-2.783,-0.59,-0.26,-0.118,-0.064
-8.606,-2.729,-0.609,-0.264,-0.135,-0.055
-8.452,-2.703,-0.583,-0.248,-0.132,-0.051
-8.346,-2.64,-0.557,-0.249,-0.12,-0.059
-8.196,-2.605,-0.56,-0.244,-0.116,-0.026
-8.059,-2.544,-0.531,-0.249,-0.105,-0.023
-7.924,-2.5,-0.544,-0.237,-0.108,-0.028
-7.801,-2.471,-0.543,-0.231,-0.106,-0.037
-7.671,-2.392,-0.526,-0.22,-0.116,-0.023
-7.539,-2.353,-0.511,-0.221,-0.1,-0.003
-7.357,-2.317,-0.498,-0.212,-0.11,-0.025
-7.266,-2.278,-0.497,-0.212,-0.086,-0.011
-7.107,-2.248,-0.455,-0.217,-0.089,-0.017
-6.946,-2.196,-0.444,-0.181,-0.09,-0.001
-6.797,-2.141,-0.454,-0.178,-0.084,-0.005
-6.635,-2.047,-0.42,-0.193,-0.071,0.008
-6.505,-2.026,-0.419,-0.175,-0.056,0.009
-6.377,-1.97,-0.411,-0.173,-0.075,-0.008
-6.225,-1.905,-0.41,-0.141,-0.076,0.007
-6.059,-1.879,-0.378,-0.147,-0.067,-0.008
-5.891,-1.8,-0.364,-0.157,-0.075,0.006
-5.73,-1.773,-0.352,-0.119,-0.052,0.019
-5.562,-1.718,-0.341,-0.151,-0.059,0.012
-5.403,-1.68,-0.334,-0.118,-0.065,0.022
-5.257,-1.623,-0.319,-0.13,-0.043,0.03
-5.105,-1.571,-0.288,-0.127,-0.058,0.026
-4.945,-1.51,-0.283,-0.128,-0.066,0.031
-4.776,-1.446,-0.31,-0.086,-0.035,0.031
-4.595,-1.404,-0.253,-0.112,-0.048,0.05
-4.423,-1.332,-0.24,-0.086,-0.03,0.034
-4.265,-1.292,-0.224,-0.073,-0.031,0.061
-4.05,-1.217,-0.209,-0.06,-0.017,0.048
-3.895,-1.166,-0.189,-0.077,-0.013,0.049
-3.729,-1.094,-0.193,-0.057,-0.014,0.071
-3.548,-1.042,-0.184,-0.059,-0.012,0.067
-3.351,-0.998,-0.173,-0.03,0.054,0.073
-3.189,-0.93,-0.155,-0.015,-0.006,0.043
-2.996,-0.871,-0.14,-0.031,-0.008,0.056
-2.817,-0.823,-0.111,-0.033,0.012,0.048
-2.627,-0.762,-0.136,-0.01,0.022,0.075
-2.432,-0.712,-0.076,-0.003,-0.002,0.047
-2.235,-0.653,-0.066,0.023,0.018,0.05
-2.061,-0.604,-0.052,0.022,0.022,0.023
-1.84,-0.527,-0.003,0.014,0.014,0.026
-1.659,-0.474,-0.041,0.012,-0.12,0.021
-1.491,-0.428,-0.015,0.027,0.041,0.033
-1.287,-0.379,-0.019,0.037,0.029,0.015
-1.079,-0.318,0.015,0.047,0.031,0.013
-0.884,-0.284,0.039,0.062,0.023,0.003
-0.68,-0.219,0.045,0.05,-0.005,0.007
-0.472,-0.163,0.013,0.027,0.036,0.008
-0.296,-0.105,0.015,0.05,0.024,0.008
-0.088,-0.04,0.057,0.046,0.035,0.008
0.027,0.001,0.022,0.055,0.037,0.007
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
